name,rating,type_of,price,comments
"Eliminator Ant, Roach & Spider Killer4, 20 oz, Kills Insects & Spiders",4.084,"Pest Bait, Traps & Killers",3.48,"Covered one up in phone. The roach crawled out of the foam and kept going.  Its wings were slightly ruffled.  Curious, I placed it in a jar.  24 hours later it is going strong with pep in its step.  I could wait for it to die of old age but instead placed it outside.  What a lucky roach that I did not have Raid!"
"Spiderman Party Blowers, 8ct",,Novelty & Gag Toys,3.74,
"TERRO Spider and Ant Killer Aerosol Spray, 16 Ounce",4.5333,"Pest Bait, Traps & Killers",4.97,EXTREMELY disappointed. Raid worked way faster. This stuff is expensive. Will Not be buying again. Got plenty left anyway.
"Hot Shot Fresh Floral Scent Ant, Roach & Spider Killer Spray, 21.87 Oz",4.1032,"Pest Bait, Traps & Killers",6.36,Sprayed them directly 10 times. did nothing!
"Eliminator Ant, Roach & Spider Killer4, Aerosol Spray, 2/20-Ounce",4.3548,"Pest Bait, Traps & Killers",5.98,It does somewhat kill on contact but it's really not that great of a spray.
"Zevo Ant, Roach and Spider Crawling Insect Spray, 10 oz",4.0253,Insect & Pest Repellent,6.97,"It says “spray insects” which indicates it's not for pest control but to kill the bugs you currently see.  This product is not spray and it dries.  Nope, it is for spray, wait for the bugs to die and then dry the area with paper towels.  This product leaves a extremely oily residue that does not dry and is NOT easy to clean up.  I will include a pictures of what a “quick spray” of this product left behind when I used it around my kitchen trash can.  It took 15 paper towels and then I had to use a spray bottle of vinegar and water to mop the rest up.  The odor of this product IS NOT for those who have a sensitive nose.  It is so overpowering and I cannot and will not use it again.  With the oily residue, I was sure glad the ants were on my tile and not running along a baseboard in a carpeted room or along one of my rugs.  I took the pictures an hour after I sprayed this product…it was not dry.  I just cannot handle the residue or the odor.  I will be looking for another pet and people safe product to use."
"Raid Essentials Ant, Spider & Roach Killer 27, 10 oz Aerosol",4.257,"Pest Bait, Traps & Killers",6.98,Man!!! I've done bought three cans of this for all the roaches  living  in my sleep spot.  I spray them roaches all night and they be coming back.  Found it even work better smashing them roaches with my hands then this spray.  Don't even think about getting this stuff in your eyes be burning for days.  Not so safe after y'all saying natural.    Stick to the professional bug killas my complex paid for once I was complaining.  No more roaches after they spray.  They did come back three times but now I don't see nothing and my family live in peace.
"STEM Kills Ants, Roaches and Spiders: plant-based active ingredient bug spray, botanical insecticide for indoor and outdoor use; 10 oz. 1 pc",4.5837,"Pest Bait, Traps & Killers",16.19,I received product reimbursement in exchange for my honest review. I used this product on ants and was not impressed. I had to spray the ants 2 times and wait a couple of more seconds before I saw them dying. The smell of this product is also very strong and not my favorite. I will be sticking to my normal brand.
Ortho Home Defense Insect Killer for Indoor & Perimeter 2 Ready-To-Use 24oz,3.6717,"Pest Bait, Traps & Killers",8.9,I have used this product for years with a false sense of security. Today I found a Brown Recluse (Violin on its back) in the house and caught it live in a mason jar. I sprayed THREE PUMPS of Ortho Home Defense MAX Insect Killer For Indoor & Perimeter on a piece of cardboard and dropped it in the mason jar with the spider. Three hours later the spider is still very much alive. This product is a waste of money.
ZURU Robo Alive Battery Powered Crawling Spider Robotic Toy - Electronic Pet,4,Electronic Pets,7.97,"I was thinking the for it's price, it should have came with a remote, needless to say it didn't, was way smaller than I would have thought, and get this , the battery that vibrates the thing only lasts 30 or so minutes, just a stiff little plastic spider that vibrates, if I were to need another cool spider it won't be this one, I'll get one with a remote , which btw, happens to be around 5 or so dollars cheaper and looks more real, sorry guys but I'd say leave this one alone"
